Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,Σ Progress,Σ Time Spent,Σ Remaining Estimate,Σ Original Estimate,Labels,Acceptance criteria,Deployment Environment,Target end,Time to SLA,Original story points,Sprint,Categorize,Story Points,Team,Overdue Status,Program Increment,Start date,End date,Baseline start date,Baseline end date,Task mode,Task progress,Risk probability,Risk consequence,Planned Start,Development,Rank,Epic Link,GtmhubObjectID,Parent Link,Actor,Flagged,Target start,Team,Account,Iteration,Planned End,Structure Index Monitor,Team Role
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22543,BIDVOMNI-14045 [ADR][Thanh toán hóa đơn định kỳ] Lỗi hiển thị khi không có danh sách (globalCode - errorCode = 400 - 003),Sub-bug,In Progress,Medium,Unresolved,"Hiếu, Nguyễn Trung (KCN, PTUDDD)",Anh Mai Huyền,Anh Mai Huyền,09/Apr/25 6:16 PM,,10/Apr/25 9:40 AM,,,,Thanh toán hóa đơn định kỳ,,0,1,,,,,,,"BIDVOMNI-22544, BIDVOMNI-22545, BIDVOMNI-22150",,"*Steps:* Nhấn chọn chức năng: Thanh toán định kỳ

*KQTT:* Hiển thị lỗi như trong video đính kèm

2025-04-09 18:11:34,976 INFO [ CommonService] [ 447] [992088664942820] [0918913794] [mid126] - Status bank:\{""status"":""1"",""globalErrorCode"":""400"",""globalErrorDescription"":""Error in Backend"",""errorInfo"":[{""sourceAppID"":""TTHDOL"",""errorCode"":""081"",""errorDesc"":""Không tìm thấy giao dịch(081) (081)""}]}

*KQMM:* Nếu không có danh sách (globalCode - errorCode = 400 - 003): hiển thị label thông báo tại client: _""Danh sách trống._ _Quý khách chưa đăng ký lệnh thanh toán định kỳ nào""_",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qdxs:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22544,BIDVOMNI-14045 [iOS][Thanh toán hóa đơn định kỳ] Lỗi hiển thị khi không có danh sách (globalCode - errorCode = 400 - 003),Sub-bug,Need To Do,Medium,Unresolved,"Anh, Phạm Tuấn (KCN, PTUDDD)",Anh Mai Huyền,Anh Mai Huyền,09/Apr/25 6:25 PM,,10/Apr/25 8:42 AM,,,,Thanh toán hóa đơn định kỳ,,0,1,,,,,,,BIDVOMNI-22543,,"*Steps:* Nhấn chọn chức năng: Thanh toán định kỳ

*KQTT:* Hiển thị lỗi như trong video đính kèm

2025-04-09 18:15:11,719 INFO [ CommonService] [ 447] [987294440365646] [0918913794] [mid126] - Status bank:\{""status"":""1"",""globalErrorCode"":""400"",""globalErrorDescription"":""Error in Backend"",""errorInfo"":[{""sourceAppID"":""TTHDOL"",""errorCode"":""081"",""errorDesc"":""Không tìm thấy giao dịch(081) (081)""}]}

*KQMM:* Nếu không có danh sách (globalCode - errorCode = 400 - 003): hiển thị label thông báo tại client: _""Danh sách trống._ _Quý khách chưa đăng ký lệnh thanh toán định kỳ nào""_",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qdyw:,,,,IOS,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22545,BIDVOMNI-14045 [ADR][Thanh toán hóa đơn định kỳ] Không hiển thị lỗi khi không có tài khoản thỏa mãn rule,Sub-bug,Need To Do,Medium,Unresolved,"Hiếu, Nguyễn Trung (KCN, PTUDDD)",Anh Mai Huyền,Anh Mai Huyền,09/Apr/25 6:31 PM,,09/Apr/25 6:37 PM,,,,Thanh toán hóa đơn định kỳ,,0,1,,,,,,,"BIDVOMNI-22546, BIDVOMNI-22543",,"*Điều kiện:*

- Không có tài khoản thỏa mãn rule
rule debit = 1
- Mã dịch vụ của giao dịch TTHĐ = 0441

*Steps:* 

1. MH Danh sách lệnh thanh toán định kỳ
2. Chọn icon +

*KQTT:* Không check tài khoản không thỏa mãn rule và hiển thị thông báo lỗi

*KQMM:* Không có tài khoản thỏa mãn rule: Hiển thị các thông báo ""Không tồn tại tài khoản nguồn được phép thực hiện giao dịch. Quý khách vui lòng kiểm tra lại"". Đóng pop-up, màn hình danh sách lệnh tt định kỳ",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qe08:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22539,BIDVOMNI-17099 (AND) [Phát hành thẻ GNNĐ] Chưa truyền đúng TK liên kết chính ở mid 578,Sub-bug,Need To Do,Medium,Unresolved,"Yến, Lê Bảo (KCN, PTUDDD)","Ngân, Nguyễn Kim (KCN, PTNV)","Ngân, Nguyễn Kim (KCN, PTNV)",09/Apr/25 5:28 PM,,09/Apr/25 5:43 PM,,,,Phát hành thẻ GNDĐ,,0,1,_thumb_204045.png,,,,,,,,"*KQ thực tế:*
* Chưa truyền đúng TK liên kết chính ở mid 578

*KQ mong muốn:*
* Truyền TK liên kết chính ở object đầu tiên trong list accLink

!image-2025-04-09-17-29-21-289.png|width=662,height=198!",,,,,,,Logic,,,,,,Chuyển đổi core thẻ,,,,,,,,,,Auto bottom up,,,,,,1|i0qdns:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21771,BIDVOMNI-14048 [IB][Mẫu nộp thuế][MH: Thanh toán nợ thuế] Check trường Mã chương,Sub-bug,Reopen,Medium,Resolve,"Long, Dương Văn (KCN, DVTCDT)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",28/Mar/25 10:33 AM,,09/Apr/25 5:29 PM,29/Mar/25 2:46 PM,,,Nộp thuế,,0,1,_thumb_204047.png,,,,,,"BIDVOMNI-21917, BIDVOMNI-21772, BIDVOMNI-21767",,"1. Đi từ Mẫu
2. Tại màn Thanh toán nợ thuế
3. Check hiển thị Trường Mã chương
KQMM:fill sẵn giá trị lưu trong mẫu
KQTT: Đang chưa fill sẵn giá trị",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0prr4:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21772,BIDVOMNI-14048 [IB][Mẫu nộp thuế][MH: Thanh toán nợ thuế] Check trường Mã NDKT,Sub-bug,Reopen,Medium,Resolve,"Long, Dương Văn (KCN, DVTCDT)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",28/Mar/25 10:36 AM,,09/Apr/25 5:17 PM,29/Mar/25 2:46 PM,,,Nộp thuế,,0,1,,,,,,,"BIDVOMNI-21771, BIDVOMNI-21778",,"1. Đi từ Mẫu
2. Tại màn Thanh toán nợ thuế
3. Check hiển thị Trường Mã NDKT
KQMM:fill sẵn giá trị lưu trong mẫu
KQTT: Đang chưa fill sẵn giá trị",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0prrk:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22537,BIDVOMNI-14048 [IB][Mẫu nộp thuế][MH: Thông tin nợ thuế] Check trường Loại NNT,Sub-bug,Need To Do,Medium,Unresolved,"Long, Dương Văn (KCN, DVTCDT)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",09/Apr/25 5:10 PM,,09/Apr/25 5:14 PM,,,,Nộp thuế,,0,1,,,,,,,BIDVOMNI-21684,,"1. Tại màn Thông tin nợ thuế
2. Check trường Loại NNT
KQMM: Hiển thị mặc định Cá nhân
KQTT: Đang hiển thị mặc định trống",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qdkg:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22538,BIDVOMNI-13398 [Android][Cài đặt vân tay]Kiểm tra màn hình Cài đặt vân tay,Sub-bug,Need To Do,Medium,Unresolved,Vượng Phan,"Hoàng, Chu Văn (KCN, PTNV)","Hoàng, Chu Văn (KCN, PTNV)",09/Apr/25 5:11 PM,,09/Apr/25 5:13 PM,,,,Cài đặt xác thực GD vân tay/faceid,,0,1,,,,,,,,,"1: Tại màn hình cài đặt vân tay

2. Kiểm tra hiển thị, thao tác

 

 

Thực tế

Nhấn icon back : đang không có phản hồi

 

Mong muốn

Nhấn icon back : quay về màn hình thao tác trước đó",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,GUI,,,,,,,,,Auto bottom up,,,,,,1|i0qdl4:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22536,BIDVOMNI-17099 (iOS) [Phát hành thẻ GNNĐ] Chưa truyền đúng TK liên kết chính ở mid 578,Sub-bug,Need To Do,Medium,Unresolved,Tùng Dương Đức,"Ngân, Nguyễn Kim (KCN, PTNV)","Ngân, Nguyễn Kim (KCN, PTNV)",09/Apr/25 5:07 PM,,09/Apr/25 5:13 PM,,,,Phát hành thẻ GNDĐ,,0,1,_thumb_204034.png,,,,,,,,"*KQ thực tế:*
* Chưa truyền đúng TK liên kết chính ở mid 578

*KQ mong muốn:*
* Truyền TK liên kết chính ở object đầu tiên trong list accLink

!image-2025-04-09-17-08-33-009.png|width=707,height=260!",,,,,,,Logic,,,,,,Chuyển đổi core thẻ,,,,,,,,,,Auto bottom up,,,,,,1|i0qdjk:,,,,IOS,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21649,BIDVOMNI-14048 [IB][Mẫu nộp thuế][MH: Chi tiết mẫu nộpthuế] Check Hiển thị Mã chương,Sub-bug,Reopen,Medium,Resolve,"Long, Dương Văn (KCN, DVTCDT)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",27/Mar/25 1:47 PM,,09/Apr/25 5:01 PM,29/Mar/25 2:47 PM,,,Nộp thuế,,0,1,_thumb_201396.png,,,,,,"BIDVOMNI-21651, BIDVOMNI-21648",,"1. Tại màn hình Chi tiết mẫu nộp thuế
2. Check hiển thị Mã chương
KQMM: Hiển thị Mã chương + Tên chương
KQTT: Đang chỉ hiển thị Tên chương",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0pp4g:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21651,BIDVOMNI-14048 [IB][Mẫu nộp thuế][MH: Chi tiết mẫu nộpthuế] Check hiển thị trường Mã NDKT,Sub-bug,Reopen,Medium,Resolve,"Long, Dương Văn (KCN, DVTCDT)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",27/Mar/25 1:53 PM,,09/Apr/25 5:01 PM,29/Mar/25 2:47 PM,,,Nộp thuế,,0,1,_thumb_201398.png,,,,,,"BIDVOMNI-21649, BIDVOMNI-21670",,"1. Tại màn hình Chi tiết mẫu nộp thuế
2. Check hiển thị trường Mã NDKT
KQMM: Hiển thị Mã tiểu mục - Mã NDKT + Tên tiểu mục - Tên NDKT
KQTT: Đang chỉ hiển thị Tên tiểu mục - Tên NDKT",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0pp88:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22534,BIDVOMNI-13851 [IB][Đổi hạn mức]- Lỗi điều hướng khi nhấn đóng tại thông báo giao dịch hết hiệu lực .,Sub-bug,Need To Do,Medium,Unresolved,"Anh, Lê Tuấn (KCN, DVTCDT)",Manh Dinh Van,Manh Dinh Van,09/Apr/25 4:43 PM,,09/Apr/25 4:58 PM,,,,Đổi hạn mức GD,,0,1,,,,,,,,,"# Tại màn hình Nhập mật khẩu.
# Nhập mk hợp lệ
# Nhấn Xác nhận nhưng giao dịch hết hiệu lực
# Kiểm tra nhấn đóng tại thông báo giao dịch hết hiệu lực.

kqtt: Nhấn đóng tắt popup

kqmm: Nhấn đóng Điều hướng về MH Khởi tạo giao dịch,",,,,,,,,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qdeg:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21819,BIDVOMNI-14048 [AND][Mẫu nộp thuế][MH: Tại màn hình Thông tin nợ thuế Check khi bỏ trống Mã kho bạc,Sub-bug,In Progress,Medium,Won't Do,"Hiếu, Nguyễn Trung (KCN, PTUDDD)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",28/Mar/25 4:55 PM,,09/Apr/25 4:45 PM,01/Apr/25 2:33 PM,,,Nộp thuế,,0,1,,,,,,,"BIDVOMNI-21797, BIDVOMNI-21820",,"1. Tại màn hình Thông tin nợ thuế
2. Không chọn Mã kho bạc
3. Nhấn Button Tiếp tục
4. Nhấn Đóng tại thông báo lỗi
KQMM: Nhấn button Đóng để tắt popup và focus vào combobox Mã kho bạc
KQTT: Nhấn button Đóng để tắt popup không focus vào combobox Mã kho bạc",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0psv4:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-20632,BIDVOMNI-14048 [IB][Nộp thuế chính chủ][MH: Thanh toán nợ thuế]: Check hiển thị định dạng số tiền,Sub-bug,Reopen,Medium,Resolve,"Anh, Lê Tuấn (KCN, DVTCDT)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",13/Mar/25 3:45 PM,,09/Apr/25 4:28 PM,17/Mar/25 1:37 PM,,,Nộp thuế,,0,1,_thumb_204015.png _thumb_197987.png,,,,,,"BIDVOMNI-20634, BIDVOMNI-20631",,"1. Tại màn Thanh toán nợ thuế
2. Check hiển thị định dạng số tiền
KQMM: hiển thị Định dạng số tiền ngăn cách nhau bằng dấu ','
KQTT: Đang ngăn cách số tiền là dấu '.'",,,,,,,Design,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0ow8w:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22533,BIDVOMNI-13851 [IB][Đổi hạn mức]- Lối hiển thị button: Giao dịch mới.,Sub-bug,Need To Do,Medium,Unresolved,"Anh, Lê Tuấn (KCN, DVTCDT)",Manh Dinh Van,Manh Dinh Van,09/Apr/25 4:21 PM,,09/Apr/25 4:28 PM,,,,Đổi hạn mức GD,,0,1,_thumb_204010.png,,,,,,,,"# Tại màn hình kết quả.
# Kiểm tra hiển thị button: Giao dịch mới.

kqtt: Đang hiển thị: Tạo giao dịch mới.

kqmm: Hiển thị: Giao dịch mới.

!image-2025-04-09-16-20-56-137.png!",,,,,,,,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qdbc:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-20611,BIDVOMNI-14048 [IB][Nộp thuế chính chủ][MH: Thông tin nợ thuế]:Check khi bỏ trống Mã cơ quan thu,Sub-bug,Reopen,Medium,Won't Do,"Anh, Lê Tuấn (KCN, DVTCDT)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",13/Mar/25 2:52 PM,,09/Apr/25 4:20 PM,17/Mar/25 10:29 AM,,,Nộp thuế,,0,1,_thumb_197966.png,,,,,,"BIDVOMNI-20610, BIDVOMNI-20613, BIDVOMNI-20623",,"1. Tại màn Thông tin nợ thuế
2. Check khi bỏ trống Mã cơ quan thu
KQMM: Hiển thị thông báo là dạng popup: ' Quý khách vui lòng chọn mã cơ quan thu', Nhấn button Đóng để tắt popup và focus vào combobox Mã cơ quan thu
KQTT: Đang hiển thị thông báo inline : Lưu ý: Vui lòng chọn Cơ quan thu và Mã kho bạc để thanh toán nợ thuế",,,,,,,Design,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0ovz4:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21820,BIDVOMNI-14048 [AND][Mẫu nộp thuế][MH: Tại màn hình Thông tin nợ thuế Check khi bỏ trống Mã cơ quan thu,Sub-bug,In Progress,Medium,Won't Do,"Hiếu, Nguyễn Trung (KCN, PTUDDD)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",28/Mar/25 4:56 PM,,09/Apr/25 4:15 PM,01/Apr/25 2:33 PM,,,Nộp thuế,,0,1,,,,,,,BIDVOMNI-21819,,"1. Tại màn hình Thông tin nợ thuế
2. Không chọn Mã cơ quan thu
3. Nhấn Button Tiếp tục
4. Nhấn Đóng tại thông báo lỗi
KQMM: Nhấn button Đóng để tắt popup và focus vào combobox Mã cơ quan thu
KQTT: Nhấn button Đóng để tắt popup không focus vào combobox Mã cơ quan thu",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0psvk:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21786,BIDVOMNI-14048 [AND][Mẫu nộp thuế][MH: Chi tiết mẫu nộp thuế] Check trường Mã chương,Sub-bug,In Progress,Medium,Resolve,"Hiếu, Nguyễn Trung (KCN, PTUDDD)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",28/Mar/25 2:50 PM,,09/Apr/25 4:15 PM,02/Apr/25 10:28 AM,,,Nộp thuế,,0,1,_thumb_203846.png,,,,,,"BIDVOMNI-21787, BIDVOMNI-21785",,"1. Tại màn hình Chi tiết mẫu nộp thuế
2. Check hiển Thị Mã chương
KQMM: Hiển thị Cả Mã chương + Tên chương
KQTT: Đang hiển thị mỗi Mã chương",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0psdk:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21787,BIDVOMNI-14048 [AND][Mẫu nộp thuế][MH: Chi tiết mẫu nộp thuế] Check trường Mã NDKT,Sub-bug,In Progress,Medium,Resolve,"Hiếu, Nguyễn Trung (KCN, PTUDDD)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",28/Mar/25 2:52 PM,,09/Apr/25 4:15 PM,02/Apr/25 10:28 AM,,,Nộp thuế,,0,1,_thumb_201686.png _thumb_203849.png,,,,,,"BIDVOMNI-21786, BIDVOMNI-21788",,"1. Tại màn hình Chi tiết mẫu nộp thuế
2. Check hiển thị Mã NDKT
KQMM: Hiển thị Cả Mã NDKT + Tên NDKT
KQTT: Đang hiển thị mỗi Mã NDKT",,,,,,,Logic,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0pse8:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-20623,BIDVOMNI-14048 [IB][Nộp thuế chính chủ][MH: Thông tin nợ thuế]:Check khi bỏ trống Mã kho bạc,Sub-bug,Reopen,Medium,Won't Do,"Anh, Lê Tuấn (KCN, DVTCDT)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",13/Mar/25 3:13 PM,,09/Apr/25 4:14 PM,17/Mar/25 10:28 AM,,,Nộp thuế,,0,1,_thumb_204005.png,,,,,,BIDVOMNI-20611,,"1. Tại màn Thông tin nợ thuế
2. Check khi bỏ trống Mã kho bạc
KQMM: Hiển thị thông báo là dạng popup: ' Quý khách vui lòng chọn mã kho bạc', Nhấn button Đóng để tắt popup và focus vào combobox Mã kho bạc
KQTT: Đang hiển thị thông báo inline : Lưu ý: Vui lòng chọn kho bạc",,,,,,,Design,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0ow3c:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22527,"BIDVOMNI-17099 (iOS) [Phát hành thẻ GNNĐ] Chưa truyền function 65 ở các mid 577, 580, 467, 468, 578, 579",Sub-bug,Need To Do,Medium,Unresolved,Tùng Dương Đức,"Ngân, Nguyễn Kim (KCN, PTNV)","Ngân, Nguyễn Kim (KCN, PTNV)",09/Apr/25 4:03 PM,,09/Apr/25 4:13 PM,,,,Phát hành thẻ GNDĐ,,0,1,,,,,,,,,"*KQ thực hiện:*
* Chưa truyền function 65 ở các mid 577, 580, 467, 468, 578, 579

_Log request của client ở mid 580:_

2025-04-09 15:10:09,559 INFO [ RequestWrapper] [ 194] [427651736995717] [0703332205] [mid580] - Request: \{""DT"":""IOS"",""cardProfile"":""DG25"",""source"":""MB"",""lang"":""VI"",""OV"":""15.8.2"",""ATS"":""24:08:28:03:10:27"",""mid"":""580"",""isRoot"":""0"",""parentCardProfile"":""DG25"",""devicetype"":""IOS"",""PM"":""iPhone 7"",""mainColor"":""0d1f2c"",""appVersion"":""5.2.99"",""APDD"":""P"",""gcmid"":""037e1e1bef7513a86289094a0ca62780fe2da323da1afa9c1e5a817c1f07ccba"",""name"":""CHAU THANH TU"",""timeRCD"":0,""incremental"":""66d8695f98ee61cadd90d13d712e0a549fc557f8690066227dff2c38bb8ac822A8A47B73343700E34227E99C63C30EEE7618060FC172B9A47B51B935B6CE9F0E"",""user"":""0703332205"",""registrationType"":""1"",""attachedRoot"":""0"",""isHook"":""0"",""sessionid"":""******"",""isRCD"":""0"",""clientId"":""1083404"",""E"":""97FE9EFA-D661-4020-B95E-C2D5B88EFF34"",""cardGroup"":""1"",""PS"":""NOT_JAILBREAK"",""cif"":""17605967"",""cifNo"":""17605967"",""requestId"":""427651736995717"",""clientKeyId"":""0001083340"",""initSource"":""MB"",""clientIP"":""210.245.52.67"",""mainColorTime"":""250409081009""}

*KQ mong muốn:*
* Truyền đúng function 65 ở các mid Phát hành thẻ GNNĐ: mid 577, 580, 467, 578, 579 theo quy định tại [Bảng cấu hình thông tin chức năng trên ứng dụng SMB|https://confluence.vnpaytest.vn/spaces/SRSSMBFE/pages/94374029/B%E1%BA%A3ng+c%E1%BA%A5u+h%C3%ACnh+th%C3%B4ng+tin+ch%E1%BB%A9c+n%C4%83ng+tr%C3%AAn+%E1%BB%A9ng+d%E1%BB%A5ng+SMB]",,,,,,,Logic,,,,,,Chuyển đổi core thẻ,,,,,,,,,,Auto bottom up,,,,,,1|i0qd6w:,,,,IOS,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22530,BIDVOMNI-19880 [IOS][SIT] Chưa hiển thị popup đăng nhập khi click đổi quà ở màn trước đăng nhập,Sub-bug,Need To Do,Medium,Unresolved,"Đức, Trần Xuân (KCN, PTUDDD)","Thảo, Nguyễn Thị (KCN, PTNV)","Thảo, Nguyễn Thị (KCN, PTNV)",09/Apr/25 4:09 PM,,09/Apr/25 4:13 PM,,,,,,0,1,,,,,,,,,"# Vào app BIDV chưa đăng nhập chọn Đổi quà
# Tại màn Home reward chọn 1 quà và nhấn Đổi quà
# Chọn click vào vùng ảnh quà, tên quà để vào màn hình chi tiết/ Nhấn đổi điểm ngay 

Hiện trạng: Chưa hiển thị popup đăng nhập để tiếp tục đổi quà

Mong muốn: Hiển thị popup đăng nhập",,,,,,,,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qd7s:,,,,,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-22528,BIDVOMNI-13851 [IB][Đổi hạn mức]- Lối hiển thị tài khoản nguồn màn hình kết quả.,Sub-bug,Need To Do,Medium,Unresolved,"Anh, Lê Tuấn (KCN, DVTCDT)",Manh Dinh Van,Manh Dinh Van,09/Apr/25 4:06 PM,,09/Apr/25 4:13 PM,,,,Đổi hạn mức GD,,0,1,,,,,,,,,"ĐK: Fee = 0
# Tại màn hình kết quả.
# Kiểm tra hiển thị tài khoản nguồn.

kqtt: Vẫn hiển thị tài khoản nguồn.

kqmm: Không hiển thị tài khoản nguồn.",,,,,,,,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0qd74:,,,,Web Frontend,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21817,BIDVOMNI-14048 [AND][Mẫu nộp thuế][MH: Tại màn hình Thông tin nợ thuế Check hiển thị Mã kho bạc,Sub-bug,In Progress,Medium,Resolve,"Hiếu, Nguyễn Trung (KCN, PTUDDD)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",28/Mar/25 4:51 PM,,09/Apr/25 4:10 PM,02/Apr/25 10:29 AM,,,Nộp thuế,,0,1,_thumb_201732.png,,,,,,"BIDVOMNI-21818, BIDVOMNI-21802",,"1. Tại màn hình Thông tin nợ thuế
2. Không chọn Mã kho bạc
3. Chọn 1 Mã kho bạc
4. Check hiển thị giá trị đã chọn
KQMM: Hiển Thị gồm: Mã kho bạc + Tên Kho bạc
KQTT: Đang chỉ hiển thị Mã kho bạc",,,,,,,Design,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0pstk:,,,,Android,,,None,None,None,,,None
BIDVOMNI_Dự án OMNI Banking cho BIDV,BIDVOMNI-21818,BIDVOMNI-14048 [AND][Mẫu nộp thuế][MH: Tại màn hình Thông tin nợ thuế Check hiển thị Mã cơ quan,Sub-bug,In Progress,Medium,Resolve,"Hiếu, Nguyễn Trung (KCN, PTUDDD)","Hải, Vũ Thị (KCN, PTNV)","Hải, Vũ Thị (KCN, PTNV)",28/Mar/25 4:53 PM,,09/Apr/25 4:08 PM,02/Apr/25 10:29 AM,,,Nộp thuế,,0,1,_thumb_201733.png,,,,,,BIDVOMNI-21817,,"1. Tại màn hình Thông tin nợ thuế
2. Không chọn Mã cơ quan
3. Chọn 1 Mã cơ quan
4. Check hiển thị giá trị đã chọn
KQMM: Hiển Thị gồm: Mã cơ quan + Tên cơ quan
KQTT: Đang chỉ hiển thị Mã cơ quan",,,,,,,Design,,,,,,Giao diện mới_Tháng 2.2025,,,,,,,,,,Auto bottom up,,,,,,1|i0psug:,,,,Android,,,None,None,None,,,None
